run,unit_type,segment_idx,token_idx,text,start_ms,end_ms,dur_ms,start_in_silence,end_in_silence,overlap_ms,max_overlap_ms,n_regions_hit,first_region_id,first_region_type,first_region_start_ms,first_region_end_ms,overlap_any,overlap_gt_threshold
baseline,segment,3,-1, A longer pause may appear occasionally in this generated file.,29720,55380,25660,False,False,20586,20000,2,3,short_silence,31776,32362,True,True
baseline,segment,1,-1, This is a stable timestamps verification sample.,4040,26460,22420,False,False,20000,20000,1,1,long_silence,6398,26398,True,True
baseline,segment,145,-1, Please verify that boundaries snap away from silence.,217440,230440,13000,True,True,10388,9620,2,30,long_silence,207060,227060,True,True
baseline,segment,8,-1, Agent-based validation benefits from reputable synthetic inputs.,73440,80440,7000,True,True,7000,7000,1,8,long_silence,69954,89954,True,True
baseline,segment,147,-1, Now we add another line with slightly different pacing.,247440,256440,9000,True,False,6656,5909,2,32,long_silence,233349,253349,True,True
baseline,segment,7,-1, A longer pause may appear occasionally in this generated file.,66440,73440,7000,True,True,4074,3486,2,7,short_silence,65951,67028,True,True
baseline,segment,11,-1, Agent-based validation benefits from reputable synthetic inputs.,82440,85440,3000,True,True,3000,3000,1,8,long_silence,69954,89954,True,True
baseline,segment,10,-1, Agent-based validation benefits from reputable synthetic inputs.,80440,82440,2000,True,True,2000,2000,1,8,long_silence,69954,89954,True,True
baseline,segment,13,-1, Agent-based validation benefits from reputable synthetic inputs.,86440,88440,2000,True,True,2000,2000,1,8,long_silence,69954,89954,True,True
baseline,segment,35,-1, Agent-based validation benefits from reputable synthetic inputs.,108440,110440,2000,True,True,2000,2000,1,9,long_silence,91742,111742,True,True
baseline,segment,14,-1, Agent-based validation benefits from reputable synthetic inputs.,88440,90440,2000,True,False,1514,1514,1,8,long_silence,69954,89954,True,True
baseline,segment,151,-1, Now we add another line with slightly different pacing.,266440,270440,4000,False,True,1480,1364,2,36,short_silence,266638,268002,True,True
baseline,segment,152,-1, A longer pause may appear occasionally in this generated file.,270440,274440,4000,True,False,1371,1371,1,37,short_silence,270324,271811,True,True
baseline,segment,159,-1, Please verify that boundaries snap away from silence.,295440,299440,4000,False,False,1240,1240,1,44,short_silence,295943,297183,True,True
baseline,segment,153,-1, Whisper should align words near the actual spoken audio.,274440,278440,4000,False,True,1091,651,2,38,short_silence,274760,275411,True,True
baseline,segment,155,-1, Now we add another line with slightly different pacing.,281440,284440,3000,False,False,1089,1089,1,40,short_silence,281631,282720,True,True
baseline,segment,2,-1, The quick brown fox jumps over the lazy dart.,26460,29720,3260,False,False,1082,1082,1,2,short_silence,28581,29663,True,True
baseline,segment,157,-1, Whisper should align words near the actual spoken audio.,287440,291440,4000,False,False,1066,1066,1,42,short_silence,287882,288948,True,True
baseline,segment,150,-1, Whisper should align words near the actual spoken audio.,262440,266440,4000,False,False,1049,1049,1,35,short_silence,262872,263921,True,True
baseline,segment,158,-1, Agent-based validation benefits from repeatable synthetic inputs.,291440,295440,4000,False,False,1015,1015,1,43,short_silence,291677,292692,True,True
baseline,segment,12,-1, Agent-based validation benefits from reputable synthetic inputs.,85440,86440,1000,True,True,1000,1000,1,8,long_silence,69954,89954,True,True
baseline,segment,18,-1, Agent-based validation benefits from reputable synthetic inputs.,92440,93440,1000,True,True,1000,1000,1,9,long_silence,91742,111742,True,True
baseline,segment,19,-1, Agent-based validation benefits from reputable synthetic inputs.,93440,94440,1000,True,True,1000,1000,1,9,long_silence,91742,111742,True,True
baseline,segment,21,-1, Agent-based validation benefits from reputable synthetic inputs.,94440,95440,1000,True,True,1000,1000,1,9,long_silence,91742,111742,True,True
baseline,segment,22,-1, Agent-based validation benefits from reputable synthetic inputs.,95440,96440,1000,True,True,1000,1000,1,9,long_silence,91742,111742,True,True
baseline,segment,23,-1, Agent-based validation benefits from reputable synthetic inputs.,96440,97440,1000,True,True,1000,1000,1,9,long_silence,91742,111742,True,True
baseline,segment,24,-1, Agent-based validation benefits from reputable synthetic inputs.,97440,98440,1000,True,True,1000,1000,1,9,long_silence,91742,111742,True,True
baseline,segment,25,-1, Agent-based validation benefits from reputable synthetic inputs.,98440,99440,1000,True,True,1000,1000,1,9,long_silence,91742,111742,True,True
baseline,segment,26,-1, Agent-based validation benefits from reputable synthetic inputs.,99440,100440,1000,True,True,1000,1000,1,9,long_silence,91742,111742,True,True
baseline,segment,27,-1, Agent-based validation benefits from reputable synthetic inputs.,100440,101440,1000,True,True,1000,1000,1,9,long_silence,91742,111742,True,True
baseline,segment,28,-1, Agent-based validation benefits from reputable synthetic inputs.,101440,102440,1000,True,True,1000,1000,1,9,long_silence,91742,111742,True,True
baseline,segment,29,-1, Agent-based validation benefits from reputable synthetic inputs.,102440,103440,1000,True,True,1000,1000,1,9,long_silence,91742,111742,True,True
baseline,segment,30,-1, Agent-based validation benefits from reputable synthetic inputs.,103440,104440,1000,True,True,1000,1000,1,9,long_silence,91742,111742,True,True
baseline,segment,31,-1, Agent-based validation benefits from reputable synthetic inputs.,104440,105440,1000,True,True,1000,1000,1,9,long_silence,91742,111742,True,True
baseline,segment,32,-1, Agent-based validation benefits from reputable synthetic inputs.,105440,106440,1000,True,True,1000,1000,1,9,long_silence,91742,111742,True,True
baseline,segment,33,-1, Agent-based validation benefits from reputable synthetic inputs.,106440,107440,1000,True,True,1000,1000,1,9,long_silence,91742,111742,True,True
baseline,segment,34,-1, Agent-based validation benefits from reputable synthetic inputs.,107440,108440,1000,True,True,1000,1000,1,9,long_silence,91742,111742,True,True
baseline,segment,36,-1, Agent-based validation benefits from reputable synthetic inputs.,110440,111440,1000,True,True,1000,1000,1,9,long_silence,91742,111742,True,True
baseline,segment,62,-1, Agent-based validation benefits from reputable synthetic inputs.,136440,137440,1000,True,True,1000,1000,1,16,short_silence,136153,137577,True,True
baseline,segment,79,-1, Agent-based validation benefits from reputable synthetic inputs.,153440,154440,1000,True,True,1000,1000,1,21,short_silence,153432,154689,True,True
baseline,segment,103,-1, Agent-based validation benefits from reputable synthetic inputs.,177440,178440,1000,True,True,1000,1000,1,27,long_silence,176775,196775,True,True
baseline,segment,104,-1, Agent-based validation benefits from reputable synthetic inputs.,178440,179440,1000,True,True,1000,1000,1,27,long_silence,176775,196775,True,True
baseline,segment,105,-1, Agent-based validation benefits from reputable synthetic inputs.,179440,180440,1000,True,True,1000,1000,1,27,long_silence,176775,196775,True,True
baseline,segment,106,-1, Agent-based validation benefits from reputable synthetic inputs.,180440,181440,1000,True,True,1000,1000,1,27,long_silence,176775,196775,True,True
baseline,segment,107,-1, Agent-based validation benefits from reputable synthetic inputs.,181440,182440,1000,True,True,1000,1000,1,27,long_silence,176775,196775,True,True
baseline,segment,108,-1, Agent-based validation benefits from reputable synthetic inputs.,182440,183440,1000,True,True,1000,1000,1,27,long_silence,176775,196775,True,True
baseline,segment,109,-1, Agent-based validation benefits from reputable synthetic inputs.,183440,184440,1000,True,True,1000,1000,1,27,long_silence,176775,196775,True,True
baseline,segment,110,-1, Agent-based validation benefits from reputable synthetic inputs.,184440,185440,1000,True,True,1000,1000,1,27,long_silence,176775,196775,True,True
baseline,segment,111,-1, Agent-based validation benefits from reputable synthetic inputs.,185440,186440,1000,True,True,1000,1000,1,27,long_silence,176775,196775,True,True
baseline,segment,112,-1, Agent-based validation benefits from reputable synthetic inputs.,186440,187440,1000,True,True,1000,1000,1,27,long_silence,176775,196775,True,True
baseline,segment,113,-1, Agent-based validation benefits from reputable synthetic inputs.,187440,188440,1000,True,True,1000,1000,1,27,long_silence,176775,196775,True,True
baseline,segment,115,-1, Agent-based validation benefits from reputable synthetic inputs.,188440,189440,1000,True,True,1000,1000,1,27,long_silence,176775,196775,True,True
baseline,segment,116,-1, Agent-based validation benefits from reputable synthetic inputs.,189440,190440,1000,True,True,1000,1000,1,27,long_silence,176775,196775,True,True
baseline,segment,117,-1, Agent-based validation benefits from reputable synthetic inputs.,190440,191440,1000,True,True,1000,1000,1,27,long_silence,176775,196775,True,True
baseline,segment,118,-1, Agent-based validation benefits from reputable synthetic inputs.,191440,192440,1000,True,True,1000,1000,1,27,long_silence,176775,196775,True,True
baseline,segment,119,-1, Agent-based validation benefits from reputable synthetic inputs.,192440,193440,1000,True,True,1000,1000,1,27,long_silence,176775,196775,True,True
baseline,segment,121,-1, Agent-based validation benefits.,193440,194440,1000,True,True,1000,1000,1,27,long_silence,176775,196775,True,True
baseline,segment,122,-1, Agent-based validation benefits.,194440,195440,1000,True,True,1000,1000,1,27,long_silence,176775,196775,True,True
baseline,segment,123,-1, Agent-based validation benefits.,195440,196440,1000,True,True,1000,1000,1,27,long_silence,176775,196775,True,True
baseline,segment,127,-1, Agent-based validation benefits.,199440,200440,1000,True,True,1000,1000,1,28,short_silence,199085,200578,True,True
baseline,segment,135,-1, Agent-based validation benefits.,207440,208440,1000,True,True,1000,1000,1,30,long_silence,207060,227060,True,True
baseline,segment,136,-1, Agent-based validation benefits.,208440,209440,1000,True,True,1000,1000,1,30,long_silence,207060,227060,True,True
baseline,segment,137,-1, Agent-based validation benefits.,209440,210440,1000,True,True,1000,1000,1,30,long_silence,207060,227060,True,True
baseline,segment,138,-1, Agent-based validation benefits.,210440,211440,1000,True,True,1000,1000,1,30,long_silence,207060,227060,True,True
baseline,segment,139,-1, Agent-based validation benefits.,211440,212440,1000,True,True,1000,1000,1,30,long_silence,207060,227060,True,True
